index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold,Primary Author,Total Revenue,Publisher Profit,Rating Category
294,2009,Shanghai Girls,Lisa See,eng,Intermediate,3.87,106729,nonfiction,2152.92,1291.752,6.99,315,Penguin Group (USA) LLC,308,Lisa See,2152.92,1291.752,Good (3.5-4.0)
295,1908,The Wind in the Willows,"Kenneth Grahame, Gillian Avery",eng,Intermediate,3.98,124612,Fiction,10327.3,6196.38,33.86,317,Penguin Group (USA) LLC,305,Kenneth Grahame,10327.3,6196.38,Good (3.5-4.0)
296,2014,To All the Boys I've Loved Before,Jenny Han,eng,Excellent,4.11,136938,nonfiction,598.99,0.0,1.99,319,"Amazon Digital Services,  Inc.",301,Jenny Han,598.99,0.0,Very Good (4.0-4.5)
297,2000,Persepolis,"Marjane Satrapi, Mattias Ripa",eng,Excellent,4.23,117103,Fiction,1487.02,892.212,4.99,321,Random House LLC,298,Marjane Satrapi,1487.02,892.212,Very Good (4.0-4.5)
298,1908,A Room with a View,E.M. Forster,eng,Intermediate,3.91,109994,Fiction,891.02,0.0,2.99,321,"Amazon Digital Services,  Inc.",298,E.M. Forster,891.02,0.0,Good (3.5-4.0)
299,2010,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,en-US,Intermediate,3.86,136736,Fiction,1181.04,0.0,3.99,322,"Amazon Digital Services,  Inc.",296,Kody Keplinger,1181.04,0.0,Good (3.5-4.0)
300,2008,Lock and Key,Sarah Dessen,eng,Excellent,4.01,120475,nonfiction,885.04,531.024,2.99,322,"Amazon Digital Services,  Inc.",296,Sarah Dessen,885.04,531.024,Very Good (4.0-4.5)
301,1995,Naked in Death,J.D. Robb,en-US,Excellent,4.13,78028,Fiction,1772.95,1063.77,6.01,323,HarperCollins Publishers,295,J.D. Robb,1772.95,1063.77,Very Good (4.0-4.5)
302,1994,The Chamber,John Grisham,eng,Intermediate,3.76,102715,Fiction,292.05,0.0,0.99,323,"Amazon Digital Services,  Inc.",295,John Grisham,292.05,0.0,Good (3.5-4.0)
303,2008,Midnight Sun (Partial Draft),Stephenie Meyer,eng,Excellent,4.03,138118,Fiction,290.07,0.0,0.99,324,"Amazon Digital Services,  Inc.",293,Stephenie Meyer,290.07,0.0,Very Good (4.0-4.5)
304,1999,NARUTO -ãƒŠãƒ«ãƒˆ- å·»ãƒŽä¸€ ,"Masashi Kishimoto, Katy Bridges",eng,Excellent,4.35,104633,nonfiction,288.09,172.854,0.99,325,HarperCollins Christian Publishing,291,Masashi Kishimoto,288.09,172.854,Very Good (4.0-4.5)
305,2012,The Unlikely Pilgrimage of Harold Fry,Rachel Joyce,eng,Intermediate,3.89,94012,Fiction,3694.6,2216.76,12.74,326,Hachette Book Group,290,Rachel Joyce,3694.6,2216.76,Good (3.5-4.0)
306,2012,Every Day,David Levithan,eng,Intermediate,3.99,121863,Fiction,1149.12,689.472,3.99,327,"Amazon Digital Services,  Inc.",288,David Levithan,1149.12,689.472,Good (3.5-4.0)
307,1991,Xenocide,Orson Scott Card,eng,Intermediate,3.77,104467,Fiction,1707.15,1024.29,5.99,329,Simon and Schuster Digital Sales Inc,285,Orson Scott Card,1707.15,1024.29,Good (3.5-4.0)
308,1596,The Merchant of Venice,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",eng,Intermediate,3.78,115621,Fiction,427.5,0.0,1.5,329,"Amazon Digital Services,  Inc.",285,William Shakespeare,427.5,0.0,Good (3.5-4.0)
309,1975,ShÅgun,James Clavell,eng,Excellent,4.37,104339,Fiction,2071.56,1242.936,7.32,330,Hachette Book Group,283,James Clavell,2071.56,1242.936,Very Good (4.0-4.5)
310,2006,"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,eng,Famous,4.45,134249,Fiction,1412.17,847.302,4.99,330,Simon and Schuster Digital Sales Inc,283,J.R. Ward,1412.17,847.302,Very Good (4.0-4.5)
311,2015,A Court of Thorns and Roses,Sarah J. Maas,eng,Excellent,4.29,167848,nonfiction,3650.19,2190.114,12.99,331,"Amazon Digital Services,  Inc.",281,Sarah J. Maas,3650.19,2190.114,Very Good (4.0-4.5)
313,1989,Chicka Chicka Boom Boom,"Bill Martin Jr., John Archambault, Lois Ehlert",eng,Excellent,4.21,105192,fiction,1097.25,658.35,3.99,335,Simon and Schuster Digital Sales Inc,275,Bill Martin Jr.,1097.25,658.35,Very Good (4.0-4.5)
314,2009,Smile,Raina Telgemeier,eng,Excellent,4.19,98628,Fiction,2618.07,1570.842,9.59,336,HarperCollins Publishers,273,Raina Telgemeier,2618.07,1570.842,Very Good (4.0-4.5)
315,1950, Animal Farm & 1984,"George Orwell, Christopher Hitchens",eng,Excellent,4.26,116197,Fiction,267.3,0.0,0.99,338,"Amazon Digital Services,  Inc.",270,George Orwell,267.3,0.0,Very Good (4.0-4.5)
316,1996,The Deep End of the Ocean,Jacquelyn Mitchard,en-US,Intermediate,3.84,102733,Fiction,267.3,0.0,0.99,338,"Amazon Digital Services,  Inc.",270,Jacquelyn Mitchard,267.3,0.0,Good (3.5-4.0)
