index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold,Primary Author,Total Revenue,Publisher Profit,Rating Category
535,2009,The Summer I Turned Pretty,Jenny Han,en-US,Intermediate,3.96,104730,Fiction,610.47,0.0,3.99,596,"Amazon Digital Services,  Inc.",4131,Jenny Han,610.47,0.0,Good (3.5-4.0)
536,1998,Four to Score ,Janet Evanovich,en-US,Excellent,4.17,106871,Fiction,151.47,90.882,0.99,597,"Amazon Digital Services,  Inc.",4131,Janet Evanovich,151.47,90.882,Very Good (4.0-4.5)
537,1996,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,en-US,Excellent,4.06,80906,Fiction,151.47,0.0,0.99,598,"Amazon Digital Services,  Inc.",4131,James McBride,151.47,0.0,Very Good (4.0-4.5)
538,2009,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt, Stephen J. Dubner",en-US,Intermediate,3.95,85006,Fiction,1176.57,705.942,7.69,600,Penguin Group (USA) LLC,4131,Steven D. Levitt,1176.57,705.942,Good (3.5-4.0)
539,2006,Darkfever,Karen Marie Moning,eng,Excellent,4.14,110812,Fiction,1618.8,971.28,10.65,601,Penguin Group (USA) LLC,4104,Karen Marie Moning,1618.8,971.28,Very Good (4.0-4.5)
540,1995,Stone of Tears,Terry Goodkind,en-US,Excellent,4.1,83235,Fiction,1111.12,666.672,7.31,603,Penguin Group (USA) LLC,4104,Terry Goodkind,1111.12,666.672,Very Good (4.0-4.5)
541,2010,Heart of the Matter,Emily Giffin,en-US,Intermediate,3.73,83461,Fiction,910.48,546.288,5.99,603,Simon and Schuster Digital Sales Inc,4104,Emily Giffin,910.48,546.288,Good (3.5-4.0)
542,1847,Vanity Fair: A Novel Without a Hero,"William Makepeace Thackeray, John Carey",eng,Intermediate,3.76,91323,Fiction,149.49,0.0,0.99,605,"Amazon Digital Services,  Inc.",4077,William Makepeace Thackeray,149.49,0.0,Good (3.5-4.0)
543,1959,The Sirens of Titan,Kurt Vonnegut Jr.,en-GB,Excellent,4.16,72493,Fiction,151.0,90.6,1.0,607,"Amazon Digital Services,  Inc.",4077,Kurt Vonnegut Jr.,151.0,90.6,Very Good (4.0-4.5)
544,1992,Dolores Claiborne,"Stephen King, Dominique Dill",fre,Intermediate,3.81,71053,Fiction,661.38,396.828,4.38,608,"Amazon Digital Services,  Inc.",4077,Stephen King,661.38,396.828,Good (3.5-4.0)
545,2016,The Nest,Cynthia D'Aprix Sweeney,eng,Novice,3.45,79762,nonfiction,1508.49,905.094,9.99,608,"Amazon Digital Services,  Inc.",4077,Cynthia D'Aprix Sweeney,1508.49,905.094,Average (3.0-3.5)
546,2001,"Fables, Volume 1: Legends in Exile","Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",eng,Intermediate,3.99,101016,Fiction,1125.0,675.0,7.5,610,Penguin Group (USA) LLC,4050,Bill Willingham,1125.0,675.0,Good (3.5-4.0)
547,2001,Getting Things Done: How To Achieve Stress-free Productivity,David    Allen,en-GB,Intermediate,3.98,75665,Fiction,598.5,0.0,3.99,611,"Amazon Digital Services,  Inc.",4050,David    Allen,598.5,0.0,Good (3.5-4.0)
548,1993,The Celestine Prophecy,James Redfield,en-US,Intermediate,3.6,72675,Fiction,594.51,356.706,3.99,615,Penguin Group (USA) LLC,4023,James Redfield,594.51,356.706,Good (3.5-4.0)
549,2012,My Life Next Door ,Huntley Fitzpatrick,eng,Excellent,4.02,102012,Fiction,594.51,356.706,3.99,615,Simon and Schuster Digital Sales Inc,4023,Huntley Fitzpatrick,594.51,356.706,Very Good (4.0-4.5)
550,2012,Winter of the World,Ken Follett,eng,Excellent,4.29,71971,nonfiction,1488.51,893.106,9.99,616,HarperCollins Publishing,4023,Ken Follett,1488.51,893.106,Very Good (4.0-4.5)
551,2013,"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]","Haruki Murakami, Philip Gabriel",eng,Intermediate,3.82,67873,fiction,594.51,0.0,3.99,616,"Amazon Digital Services,  Inc.",4023,Haruki Murakami,594.51,0.0,Good (3.5-4.0)
552,1999,Lucky,Alice Sebold,eng,Intermediate,3.77,77462,children,1427.42,856.452,9.58,617,"Amazon Digital Services,  Inc.",4023,Alice Sebold,1427.42,856.452,Good (3.5-4.0)
553,1927,To The Lighthouse ,Virginia Woolf,eng,Intermediate,3.76,83066,Fiction,1144.04,686.424,7.73,619,Macmillan,3996,Virginia Woolf,1144.04,686.424,Good (3.5-4.0)
554,2004,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,en-GB,Novice,3.43,67438,Fiction,146.52,0.0,0.99,620,"Amazon Digital Services,  Inc.",3996,Chetan Bhagat,146.52,0.0,Average (3.0-3.5)
555,1993,Guilty Pleasures,Laurell K. Hamilton,eng,Excellent,4.02,104252,Fiction,442.52,0.0,2.99,622,"Amazon Digital Services,  Inc.",3996,Laurell K. Hamilton,442.52,0.0,Very Good (4.0-4.5)
556,2002,The Messenger,Markus Zusak,en-US,Excellent,4.09,93119,Fiction,145.53,87.318,0.99,624,"Amazon Digital Services,  Inc.",3969,Markus Zusak,145.53,87.318,Very Good (4.0-4.5)
557,1874,Far from the Madding Crowd,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",eng,Intermediate,3.92,87427,Fiction,1997.73,1198.638,13.59,624,HarperCollins Publishers,3969,Thomas Hardy,1997.73,1198.638,Good (3.5-4.0)
558,1987,Equal Rites,Terry Pratchett,eng,Intermediate,4.0,88673,Fiction,145.53,0.0,0.99,625,"Amazon Digital Services,  Inc.",3969,Terry Pratchett,145.53,0.0,Good (3.5-4.0)
559,2000,House of Leaves,Mark Z. Danielewski,eng,Excellent,4.13,75469,Fiction,439.53,0.0,2.99,625,"Amazon Digital Services,  Inc.",3969,Mark Z. Danielewski,439.53,0.0,Very Good (4.0-4.5)
560,1993,Cruel & Unusual,Patricia Cornwell,nl,Excellent,4.11,83695,Fiction,439.53,263.718,2.99,626,"Amazon Digital Services,  Inc.",3969,Patricia Cornwell,439.53,263.718,Very Good (4.0-4.5)
561,2013,Sycamore Row,John Grisham,eng,Intermediate,3.98,56315,Fiction,1074.57,644.742,7.31,627,Penguin Group (USA) LLC,3969,John Grisham,1074.57,644.742,Good (3.5-4.0)
562,2011,Awakened,"P.C. Cast, Kristin Cast",en-US,Excellent,4.02,101234,Fiction,675.98,405.588,4.63,628,Hachette Book Group,3942,P.C. Cast,675.98,405.588,Very Good (4.0-4.5)
563,1918,My Ãntonia,Willa Cather,eng,Intermediate,3.76,81102,Fiction,582.54,0.0,3.99,629,"Amazon Digital Services,  Inc.",3942,Willa Cather,582.54,0.0,Good (3.5-4.0)
564,2006,Life As We Knew It,Susan Beth Pfeffer,eng,Intermediate,3.89,94282,nonfiction,1097.92,658.752,7.52,629,"Amazon Digital Services,  Inc.",3942,Susan Beth Pfeffer,1097.92,658.752,Good (3.5-4.0)
565,2004,America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",eng,Excellent,4.02,74511,nonfiction,1166.54,699.924,7.99,630,Random House LLC,3942,Jon Stewart,1166.54,699.924,Very Good (4.0-4.5)
566,2004,90 Minutes in Heaven,"Don Piper, Cecil Murphey",Unknown,Intermediate,3.91,67937,Fiction,1251.22,750.732,8.57,631,"Amazon Digital Services,  Inc.",3942,Don Piper,1251.22,750.732,Good (3.5-4.0)
567,2012,The Longest Ride,Nicholas Sparks,eng,Excellent,4.14,71276,Fiction,144.54,0.0,0.99,631,"Amazon Digital Services,  Inc.",3942,Nicholas Sparks,144.54,0.0,Very Good (4.0-4.5)
568,-300,é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng],"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",eng,Excellent,4.31,39863,Fiction,665.55,399.33,4.59,632,Penguin Group (USA) LLC,3915,Lao Tzu,665.55,399.33,Very Good (4.0-4.5)
569,1979,Kane and Abel,Jeffrey Archer,en-US,Excellent,4.27,74052,fiction,723.55,0.0,4.99,632,"Amazon Digital Services,  Inc.",3915,Jeffrey Archer,723.55,0.0,Very Good (4.0-4.5)
570,2008,Change of Heart,Jodi Picoult,en-US,Intermediate,3.91,86471,Fiction,990.35,594.21,6.83,634,Simon and Schuster Digital Sales Inc,3915,Jodi Picoult,990.35,594.21,Good (3.5-4.0)
571,2003,Dry: A Memoir,Augusten Burroughs,eng,Excellent,4.01,70550,children,1448.55,869.13,9.99,635,"Amazon Digital Services,  Inc.",3915,Augusten Burroughs,1448.55,869.13,Very Good (4.0-4.5)
572,2001,Sam's Letters To Jennifer,James Patterson,Unknown,Excellent,4.15,77538,Fiction,868.55,521.13,5.99,636,Hachette Book Group,3915,James Patterson,868.55,521.13,Very Good (4.0-4.5)
573,2015,Grey,E.L. James,en-GB,Intermediate,3.76,75320,Fiction,1134.72,680.832,7.88,637,Hachette Book Group,3888,E.L. James,1134.72,680.832,Good (3.5-4.0)
574,1969,Dune Messiah ,Frank Herbert,eng,Intermediate,3.86,82580,Fiction,570.57,0.0,3.99,641,"Amazon Digital Services,  Inc.",3861,Frank Herbert,570.57,0.0,Good (3.5-4.0)
575,1945,The Great Divorce,C.S. Lewis,en-US,Excellent,4.28,75031,fiction,1428.57,857.142,9.99,642,Penguin Group (USA) LLC,3861,C.S. Lewis,1428.57,857.142,Very Good (4.0-4.5)
576,2004,Little Earthquakes,Jennifer Weiner,Unknown,Intermediate,3.76,77592,nonfiction,1072.5,643.5,7.5,645,Random House LLC,3861,Jennifer Weiner,1072.5,643.5,Good (3.5-4.0)
577,1835,Eventyr og historier,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",eng,Excellent,4.28,90999,Fiction,708.58,0.0,4.99,646,"Amazon Digital Services,  Inc.",3834,Hans Christian Andersen,708.58,0.0,Very Good (4.0-4.5)
578,2009,New Moon: The Complete Illustrated Movie Companion,Mark Cotta Vaz,en-US,Excellent,4.34,82399,Fiction,1560.58,936.348,10.99,647,Penguin Group (USA) LLC,61560,Mark Cotta Vaz,1560.58,936.348,Very Good (4.0-4.5)
579,2014,Maybe Someday,Colleen Hoover,eng,Excellent,4.33,81707,Fiction,969.86,581.916,6.83,649,Random House LLC,61128,Colleen Hoover,969.86,581.916,Very Good (4.0-4.5)
580,1999,Mr Maybe,Jane Green,eng,Novice,3.41,78132,Fiction,562.59,0.0,3.99,651,"Amazon Digital Services,  Inc.",61128,Jane Green,562.59,0.0,Average (3.0-3.5)
581,1915,Anne of the Island,L.M. Montgomery,eng,Excellent,4.21,97049,Fiction,139.59,83.754,0.99,652,Random House LLC,60696,L.M. Montgomery,139.59,83.754,Very Good (4.0-4.5)
582,1883,Also sprach Zarathustra,"Friedrich Nietzsche, Walter Kaufmann",eng,Excellent,4.05,65362,Fiction,1030.71,618.426,7.31,652,Penguin Group (USA) LLC,59400,Friedrich Nietzsche,1030.71,618.426,Very Good (4.0-4.5)
583,1854,North and South,"Elizabeth Gaskell, Alan Shelston",eng,Excellent,4.13,95274,Fiction,562.59,0.0,3.99,653,"Amazon Digital Services,  Inc.",58968,Elizabeth Gaskell,562.59,0.0,Very Good (4.0-4.5)
584,2011,A Stolen Life,Jaycee Dugard,en-US,Intermediate,3.89,72713,fiction,558.6,0.0,3.99,655,"Amazon Digital Services,  Inc.",57240,Jaycee Dugard,558.6,0.0,Good (3.5-4.0)
585,2010,The Immortals of Meluha,Amish Tripathi,eng,Intermediate,4.0,62784,Fiction,418.6,251.16,2.99,658,"Amazon Digital Services,  Inc.",56808,Amish Tripathi,418.6,251.16,Good (3.5-4.0)
586,1995,The Lost World,Michael Crichton,eng,Intermediate,3.72,83389,Fiction,1398.6,839.16,9.99,658,"Amazon Digital Services,  Inc.",55728,Michael Crichton,1398.6,839.16,Good (3.5-4.0)
587,2013,Requiem,Lauren Oliver,eng,Intermediate,3.74,100593,Fiction,698.6,0.0,4.99,659,"Amazon Digital Services,  Inc.",55080,Lauren Oliver,698.6,0.0,Good (3.5-4.0)
588,1996,A Crown of Swords,Robert Jordan,eng,Intermediate,4.0,86421,nonfiction,137.61,0.0,0.99,661,"Amazon Digital Services,  Inc.",54000,Robert Jordan,137.61,0.0,Good (3.5-4.0)
589,-560,Aesopica,"Aesop, Laura Harris, Laura Gibbs",eng,Excellent,4.05,88508,Fiction,693.61,0.0,4.99,663,"Amazon Digital Services,  Inc.",53784,Aesop,693.61,0.0,Very Good (4.0-4.5)
590,1985,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,eng,Excellent,4.18,71095,Fiction,725.88,435.528,5.26,665,Penguin Group (USA) LLC,53784,Cormac McCarthy,725.88,435.528,Very Good (4.0-4.5)
591,2012,Finale,Becca Fitzpatrick,eng,Excellent,4.22,107569,Fiction,1516.62,909.972,10.99,666,Penguin Group (USA) LLC,53784,Becca Fitzpatrick,1516.62,909.972,Very Good (4.0-4.5)
592,1985,Skeleton Crew,Stephen King,eng,Intermediate,3.93,82320,Fiction,957.72,574.632,6.94,668,Random House LLC,53568,Stephen King,957.72,574.632,Good (3.5-4.0)
593,2002,Lullaby,Chuck Palahniuk,Unknown,Intermediate,3.73,66713,Fiction,1094.63,656.778,7.99,671,Hachette Book Group,53352,Chuck Palahniuk,1094.63,656.778,Good (3.5-4.0)
594,2009,Two States,Chetan Bhagat,eng,Intermediate,3.42,67866,Fiction,836.4,501.84,6.15,675,"Amazon Digital Services,  Inc.",53352,Chetan Bhagat,836.4,501.84,Average (3.0-3.5)
595,2005,ãƒ´ã‚¡ãƒ³ãƒ‘ã‚¤ã‚¢é¨Žå£« 1,"Matsuri Hino, Tomo Kimura",eng,Excellent,4.1,89733,nonfiction,1225.36,0.0,9.01,675,"Amazon Digital Services,  Inc.",53136,Matsuri Hino,1225.36,0.0,Very Good (4.0-4.5)
596,2002,Summer Knight,Jim Butcher,eng,Excellent,4.3,91012,Fiction,542.64,0.0,3.99,676,"Amazon Digital Services,  Inc.",52920,Jim Butcher,542.64,0.0,Very Good (4.0-4.5)
597,1968,Dragonflight,"Anne McCaffrey, Teodor PanasiÅ„ski",eng,Excellent,4.1,95378,Fiction,133.65,0.0,0.99,679,"Amazon Digital Services,  Inc.",52488,Anne McCaffrey,133.65,0.0,Very Good (4.0-4.5)
598,2007,"The History of the Hobbit, Part One: Mr. Baggins","John D. Rateliff, J.R.R. Tolkien",eng,Intermediate,3.81,108399,Fiction,538.65,0.0,3.99,680,"Amazon Digital Services,  Inc.",52488,John D. Rateliff,538.65,0.0,Good (3.5-4.0)
599,2014,Ugly Love,Colleen Hoover,eng,Excellent,4.3,107583,Fiction,808.65,485.19,5.99,681,Random House LLC,52488,Colleen Hoover,808.65,485.19,Very Good (4.0-4.5)
600,1998,Chocolat,Joanne Harris,eng,Intermediate,3.95,84770,nonfiction,873.68,524.208,6.52,682,"Amazon Digital Services,  Inc.",52056,Joanne Harris,873.68,524.208,Good (3.5-4.0)
601,1977,The Amityville Horror,Jay Anson,eng,Intermediate,3.82,80959,Fiction,1191.26,714.756,8.89,684,Hachette Book Group,52056,Jay Anson,1191.26,714.756,Good (3.5-4.0)
602,1992,The English Patient,Michael Ondaatje,Unknown,Intermediate,3.88,83741,Fiction,663.67,0.0,4.99,688,"Amazon Digital Services,  Inc.",51840,Michael Ondaatje,663.67,0.0,Good (3.5-4.0)
603,2012,Gabriel's Rapture,Sylvain Reynard,eng,Excellent,4.22,91213,Fiction,530.67,0.0,3.99,689,"Amazon Digital Services,  Inc.",51624,Sylvain Reynard,530.67,0.0,Very Good (4.0-4.5)
604,1914,Dubliners,"James Joyce, Jeri Johnson",eng,Intermediate,3.85,73140,fiction,397.67,238.602,2.99,690,Random House LLC,51408,James Joyce,397.67,238.602,Good (3.5-4.0)
605,2009,Let the Great World Spin,Colum McCann,en-US,Intermediate,3.93,71515,Fiction,394.68,0.0,2.99,692,"Amazon Digital Services,  Inc.",51192,Colum McCann,394.68,0.0,Good (3.5-4.0)
606,2003,The Eternity Code,Eoin Colfer,eng,Excellent,4.04,94437,fiction,394.68,0.0,2.99,692,"Amazon Digital Services,  Inc.",51192,Eoin Colfer,394.68,0.0,Very Good (4.0-4.5)
607,2001,Tell No One,Harlan Coben,eng,Excellent,4.11,78070,Fiction,394.68,236.808,2.99,693,"Amazon Digital Services,  Inc.",50976,Harlan Coben,394.68,236.808,Very Good (4.0-4.5)
608,1987,The Tommyknockers,Stephen King,eng,Famous,3.48,89262,Fiction,790.68,0.0,5.99,693,"Amazon Digital Services,  Inc.",50760,Stephen King,790.68,0.0,Average (3.0-3.5)
609,2010,Hex Hall,Rachel Hawkins,eng,Intermediate,3.96,109881,fiction,526.68,0.0,3.99,693,"Amazon Digital Services,  Inc.",50544,Rachel Hawkins,526.68,0.0,Good (3.5-4.0)
610,2010,Steal Like an Artist,Austin Kleon,en-US,Intermediate,3.86,93625,Fiction,130.68,78.408,0.99,694,"Amazon Digital Services,  Inc.",50328,Austin Kleon,130.68,78.408,Good (3.5-4.0)
611,1999,Cryptonomicon,Neal Stephenson,eng,Excellent,4.25,72683,children,327.36,196.416,2.48,694,Random House LLC,50112,Neal Stephenson,327.36,196.416,Very Good (4.0-4.5)
612,2013,Beautiful Bastard,Christina Lauren,eng,Excellent,4.05,111668,Fiction,394.68,0.0,2.99,695,"Amazon Digital Services,  Inc.",49896,Christina Lauren,394.68,0.0,Very Good (4.0-4.5)
613,2000,Prodigal Summer,Barbara Kingsolver,en-US,Intermediate,3.98,78529,Fiction,260.69,156.414,1.99,696,Simon and Schuster Digital Sales Inc,49896,Barbara Kingsolver,260.69,156.414,Good (3.5-4.0)
614,1996,We Were the Mulvaneys,Joyce Carol Oates,eng,Intermediate,3.7,77251,Fiction,1395.15,837.09,10.65,698,Hachette Book Group,49680,Joyce Carol Oates,1395.15,837.09,Good (3.5-4.0)
615,1993,Understanding Comics: The Invisible Art,Scott McCloud,en-US,Intermediate,3.98,77277,nonfiction,129.69,77.814,0.99,699,"Amazon Digital Services,  Inc.",49680,Scott McCloud,129.69,77.814,Good (3.5-4.0)
616,2010,Beautiful Darkness,"Kami Garcia, Margaret Stohl",en-US,Intermediate,3.84,95447,nonfiction,260.69,156.414,1.99,700,HarperCollins Publishers,49248,Kami Garcia,260.69,156.414,Good (3.5-4.0)
617,2011,The Psychopath Test,Jon Ronson,eng,Intermediate,3.91,44097,Fiction,492.7,295.62,3.79,701,Macmillan,49032,Jon Ronson,492.7,295.62,Good (3.5-4.0)
618,2005,Vanishing Acts,Jodi Picoult,en-US,Intermediate,3.68,79662,Fiction,258.7,155.22,1.99,703,Random House LLC,48816,Jodi Picoult,258.7,155.22,Good (3.5-4.0)
619,1995,Absolute Power,David Baldacci,eng,Excellent,4.15,72481,Fiction,1656.2,993.72,12.74,704,Macmillan,48816,David Baldacci,1656.2,993.72,Very Good (4.0-4.5)
620,2000,Hot Six,Janet Evanovich,eng,Excellent,4.18,99329,Fiction,514.71,0.0,3.99,705,"Amazon Digital Services,  Inc.",48600,Janet Evanovich,514.71,0.0,Very Good (4.0-4.5)
621,2012,The Time Keeper,Mitch Albom,eng,Intermediate,3.85,72277,Fiction,127.71,0.0,0.99,707,"Amazon Digital Services,  Inc.",48384,Mitch Albom,127.71,0.0,Good (3.5-4.0)
622,2006,A Dirty Job,Christopher Moore,en-US,Excellent,4.08,78523,nonfiction,127.71,76.626,0.99,707,"Amazon Digital Services,  Inc.",48168,Christopher Moore,127.71,76.626,Very Good (4.0-4.5)
623,2003,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,en-US,Excellent,4.24,66406,Fiction,127.71,0.0,0.99,708,"Amazon Digital Services,  Inc.",47952,Michael   Lewis,127.71,0.0,Very Good (4.0-4.5)
624,2003,The Amulet of Samarkand,Jonathan Stroud,en-US,Intermediate,3.99,86062,Fiction,127.71,0.0,0.99,709,"Amazon Digital Services,  Inc.",47736,Jonathan Stroud,127.71,0.0,Good (3.5-4.0)
625,2007,I Am America (And So Can You!),"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",en-US,Intermediate,3.91,71023,Fiction,885.76,531.456,6.92,710,Penguin Group (USA) LLC,47520,Stephen Colbert,885.76,531.456,Good (3.5-4.0)
626,1981,The One Minute Manager,"Kenneth H. Blanchard, Spencer Johnson",en-US,Intermediate,3.85,70241,children,888.32,532.992,6.94,710,"Amazon Digital Services,  Inc.",47520,Kenneth H. Blanchard,888.32,532.992,Good (3.5-4.0)
627,1958,Exodus,Leon Uris,eng,Excellent,4.33,77258,Fiction,1470.72,882.432,11.49,711,Random House LLC,47304,Leon Uris,1470.72,882.432,Very Good (4.0-4.5)
628,1994,Stones from the River,Ursula Hegi,en-GB,Excellent,4.07,80056,Fiction,787.2,472.32,6.15,712,"Amazon Digital Services,  Inc.",47304,Ursula Hegi,787.2,472.32,Very Good (4.0-4.5)
629,1939,The Big Sleep,Raymond Chandler,eng,Excellent,4.04,84489,Fiction,126.72,76.032,0.99,713,"Amazon Digital Services,  Inc.",47088,Raymond Chandler,126.72,76.032,Very Good (4.0-4.5)
630,1945,Cannery Row ,John Steinbeck,eng,Excellent,4.02,81598,Fiction,1153.28,691.968,9.01,713,HarperCollins Publishers,47088,John Steinbeck,1153.28,691.968,Very Good (4.0-4.5)
631,2011,Seriously...I'm Kidding,Ellen DeGeneres,en-US,Intermediate,3.72,74358,Fiction,843.28,505.968,6.64,714,Hachette Book Group,46872,Ellen DeGeneres,843.28,505.968,Good (3.5-4.0)
632,2000,The Miserable Mill,"Lemony Snicket, Brett Helquist",en-US,Intermediate,3.83,101325,Fiction,1395.73,837.438,10.99,716,Penguin Group (USA) LLC,46872,Lemony Snicket,1395.73,837.438,Good (3.5-4.0)
633,2012,The Snow Child,Eowyn Ivey,eng,Intermediate,3.95,72328,Fiction,125.73,75.438,0.99,716,"Amazon Digital Services,  Inc.",46872,Eowyn Ivey,125.73,75.438,Good (3.5-4.0)
634,2013,Wait for You,"J. Lynn, Jennifer L. Armentrout",eng,Excellent,4.19,106236,Fiction,506.73,0.0,3.99,717,"Amazon Digital Services,  Inc.",46440,J. Lynn,506.73,0.0,Very Good (4.0-4.5)
635,2009,The Last Straw,Jeff Kinney,eng,Excellent,4.11,82518,Fiction,502.74,0.0,3.99,719,"Amazon Digital Services,  Inc.",46440,Jeff Kinney,502.74,0.0,Very Good (4.0-4.5)
636,1308,La Divina Commedia,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",eng,Excellent,4.06,74130,Fiction,124.74,0.0,0.99,720,"Amazon Digital Services,  Inc.",46008,Dante Alighieri,124.74,0.0,Very Good (4.0-4.5)
637,1982,The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard",eng,Excellent,4.01,69975,Fiction,1198.75,719.25,9.59,724,HarperCollins Publishers,46008,Benjamin Hoff,1198.75,719.25,Very Good (4.0-4.5)
638,2012,Onyx,Jennifer L. Armentrout,eng,Excellent,4.33,111448,Fiction,1127.5,676.5,9.02,725,Random House LLC,46008,Jennifer L. Armentrout,1127.5,676.5,Very Good (4.0-4.5)
639,2013,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,eng,Excellent,4.28,109183,Fiction,122.76,73.656,0.99,728,"Amazon Digital Services,  Inc.",45792,Tahereh Mafi,122.76,73.656,Very Good (4.0-4.5)
640,2003,The Birth of Venus,Sarah Dunant,en-US,Intermediate,3.79,78129,Fiction,370.76,0.0,2.99,730,"Amazon Digital Services,  Inc.",45576,Sarah Dunant,370.76,0.0,Good (3.5-4.0)
641,2005,The Opal Deception,Eoin Colfer,eng,Excellent,4.04,95638,Fiction,121.77,73.062,0.99,733,"Amazon Digital Services,  Inc.",45360,Eoin Colfer,121.77,73.062,Very Good (4.0-4.5)
642,2015,Det som inte dÃ¶dar oss,"David Lagercrantz, Stieg Larsson, George Goulding",eng,Intermediate,3.73,53751,Fiction,121.77,73.062,0.99,736,Random House LLC,45144,David Lagercrantz,121.77,73.062,Good (3.5-4.0)
643,2016,The Girls,Emma Cline,eng,Novice,3.49,76761,Fiction,974.78,584.868,7.99,737,Random House LLC,44928,Emma Cline,974.78,584.868,Average (3.0-3.5)
644,2003,The Goose Girl,Shannon Hale,en-US,Excellent,4.18,92952,Fiction,120.78,72.468,0.99,738,Simon and Schuster Digital Sales Inc,44280,Shannon Hale,120.78,72.468,Very Good (4.0-4.5)
645,2001,Mystic River,Dennis Lehane,en-US,Excellent,4.19,86103,Fiction,1096.78,658.068,8.99,739,Random House LLC,43848,Dennis Lehane,1096.78,658.068,Very Good (4.0-4.5)
646,2010,Warm Bodies,Isaac Marion,Unknown,Intermediate,3.93,66381,Fiction,486.78,292.068,3.99,740,"Amazon Digital Services,  Inc.",43848,Isaac Marion,486.78,292.068,Good (3.5-4.0)
647,1881,The Prince and the Pauper,"Mark Twain, Everett H. Emerson",eng,Intermediate,3.84,84682,Fiction,966.79,580.074,7.99,741,Random House LLC,43416,Mark Twain,966.79,580.074,Good (3.5-4.0)
648,1966,The Moon is a Harsh Mistress,Robert A. Heinlein,eng,Excellent,4.17,80366,Fiction,930.49,558.294,7.69,743,Penguin Group (USA) LLC,43416,Robert A. Heinlein,930.49,558.294,Very Good (4.0-4.5)
649,2010,The Forty Rules of Love,"Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´",eng,Excellent,4.17,35283,Fiction,119.79,71.874,0.99,743,"Amazon Digital Services,  Inc.",43416,Elif Shafak,119.79,71.874,Very Good (4.0-4.5)
650,1999,High Five,Janet Evanovich,eng,Excellent,4.17,92737,children,671.55,402.93,5.55,745,"Amazon Digital Services,  Inc.",43200,Janet Evanovich,671.55,402.93,Very Good (4.0-4.5)
651,2013,Joyland,Stephen King,eng,Intermediate,3.9,75018,Fiction,118.8,0.0,0.99,746,"Amazon Digital Services,  Inc.",42768,Stephen King,118.8,0.0,Good (3.5-4.0)
652,2010,é€²æ’ƒã®å·¨äºº 1,"Hajime Isayama, Sheldon Drzka",eng,Famous,4.42,82565,Fiction,118.8,71.28,0.99,748,"Amazon Digital Services,  Inc.",42552,Hajime Isayama,118.8,71.28,Very Good (4.0-4.5)
653,1933,Tender Is the Night,F. Scott Fitzgerald,en-US,Intermediate,3.83,79008,Fiction,118.8,71.28,0.99,750,"Amazon Digital Services,  Inc.",42120,F. Scott Fitzgerald,118.8,71.28,Good (3.5-4.0)
654,1984,Cold Sassy Tree,Olive Ann Burns,Unknown,Intermediate,3.99,82281,Fiction,950.81,570.486,7.99,751,Random House LLC,42120,Olive Ann Burns,950.81,570.486,Good (3.5-4.0)
655,1945,The Glass Menagerie,Tennessee Williams,eng,Intermediate,3.67,90032,nonfiction,117.81,70.686,0.99,752,"Amazon Digital Services,  Inc.",41904,Tennessee Williams,117.81,70.686,Good (3.5-4.0)
